label,description
archaeological,
distance,geographic distance data
demographic,demographic data
environmental factors,environmental factors
ethnobotanical,ethnobotany
ethnographic features,ethnographic features
frequency,frequency
genetic SNPs,genetic SNP data
lexemes,raw lexical data
lexical cognates,cognate data
lexical cognates (autodetected),auto detected cognate data
lexical distances,lexical distances
mixed,mixed datatypes
morphological traits,morphological characters
phonetic distance,phonetic distance
phonetic traits,phonetic characters
signs,manual alphabet for sign languages
structural features,structural features
syntactical features,syntactical features
